from,to,weight,relationship,time
Schneider,Nestle,4,4,1
Schneider,CPW,3,4,99
Schneider,CGF,3,9,99
Freixe,Nestle,3,4,5
Freixe,CPW,3,4,99
Freixe,LUX,3,4,99
Freixe,CGF,1,4,99
Freixe,GAN,4,4,1
Johnson,Nestle,3,4,5
Johnson,GS1,3,4,99
Johnson,SCC,3,8,99
Bula,Nestle,3,4,5
Bula,Schindler,3,7,1
Bula,Novartis,3,4,1
Bula,CPW,4,4,99
Bula,FLTS,3,4,99
Settembri,Nestle,3,4,5
Settembri,FDE,4,3,99
Settembri,AIM,1,8,99
Roger,Nestle,4,4,1
Batato,CARL,4,4,1
Batato,wbcsd,4,8,99
Batato,IDH,4,6,99
Batato,Nestle,4,4,5
Palzer,SFN,4,3,1
Palzer,Nestle,3,4,3
Guillaume,Nestle,3,4,1
Guillaume,Loreal,3,4,1
Geale,Nestle,3,4,5
Geale,CEELI,3,8,99
Behar,Nestle,3,4,5
Behar,Cerecin,3,4,99
Behar,ST,3,4,2
Behar,AH,3,4,99
Behar,Amazentis,3,4,99
Behar,PB,3,4,99
Behar,NSP,4,4,99
Behar,NIH,1,4,2
Bahadur,FDE,4,3,1
Luciano,ECC,3,3,99
Luciano,CCC,3,3,99
Luciano,GABKS,3,5,99
Luciano,ADM,4,4,2
Bard,ADM,3,4,2
Bard,ECA,3,5,99
Bard,CALS,2,5,99
Batiste,ADM,3,4,99
Batiste,ISM,2,5,99
Braker,ADM,3,4,99
Cuddy,ADM,3,4,5
Cuddy,CRA,3,4,99
Dambrose,ADM,3,4,99
Dambrose,JAG,4,8,99
Dambrose,RDC,3,4,99
Dambrose,CAHRS,4,4,99
Dambrose,SHRM,3,3,99
Dambrose,CES,2,5,99
Dambrose,USC,4,8,99
Dambrose,HTA,4,10,99
Dambrose,HR,1,3,99
Dambrose,CHRO,1,3,99
Duprat,ADM,3,4,99
Findlay,ADM,3,4,2
Folkwein,ADM,3,4,2
Goncalve,ADM,4,4,1
Kadlec,ADM,4,4,99
Kadlec,CFTC,1,11,99
Kadlec,NFA,3,8,99
Kadlec,CME,3,11,99
Kadlec,FIA,3,8,99
Lastra,ADM,4,4,5
Logan,ADM,3,4,5
Luthar,ADM,3,4,5
Macciochi,ADM,3,4,2
Macciochi,ADMEC,1,11,99
Morris,ADM,3,4,5
Morris,ADMBD,3,9,99
Morris,OE,3,4,99
Morris,CCGA,3,8,99
Morris,ISU,1,5,99
Morris,ADMEC,1,11,99
Pinner,ADM,3,4,5
Roig,ADM,4,4,5
Stott,ADM,3,4,5
Taets,ADM,3,4,5
Taets,BODC,1,11,99
Taets,BGCA,3,8,99
Taets,CMAP,3,5,99
Vo,ADM,3,4,2
Vo,ALI,1,5,99
Vo,ECNB,3,11,99
Werpy,ADM,3,4,3
Young,ADM,3,4,2
Lastra,ADMEC,1,11,99
Goncalve,ADMEC,1,11,99
Folkwein,ADMEC,1,11,99
Findlay,ADMEC,1,11,99
Duprat,ADMEC,1,11,99
Dambrose,ADMEC,1,11,99
Cuddy,ADMEC,1,11,99
Braker,ADMEC,1,11,99
Batiste,ADMEC,1,11,99
Roig,ADMEC,1,11,99
Taets,ADMEC,1,11,99
Werpy,ADMEC,1,11,99
