id,name,sex,age,power,company ,type,education,nationality
Schneider,Ulf Mark Schneider,1,1965,5,1,2,1,1
Freixe,Laurent Freixe,1,1962,2,1,2,1,2
Johnson,Chris Johnson,1,1961,4,1,2,1,4
Bula,Patrice Bula,1,1956,4,1,2,1,6
Settembri,Marco Settembri,1,1959,4,1,2,1,3
Roger,Francois-Xavier,1,1962,4,1,2,1,2
Batato,Magdi Batato,1,1959,4,1,2,1,6
Palzer,Stefan Palzer,1,1969,4,1,2,2,1
Guillaume,Beatrice Guillaume-Grabisch,2,1964,4,1,2,1,2
Geale,Leanne Geale,2,1965,4,1,2,6,7
Behar,Greg Bahar,1,1969,4,1,2,1,6
Bahadur,Sanjay Bahdur,1,1959,4,1,2,1,5
Luciano,Juan Luciano,1,1962,5,2,2,3,8
Bard,Ben Bard,1,99,2,2,2,6,4
Batiste,Camille Batiste,2,99,4,2,2,1,99
Braker,Veronica L. Braker,2,99,3,2,2,3,99
Cuddy,Christopher M. Cuddy,1,99,3,2,2,1,99
Dambrose,Michael Dámbrose,1,99,3,2,2,1,99
Duprat,Pierre Christoph Duprat,1,99,4,2,2,1,99
Findlay,D. Cameron Findlay,1,99,3,2,2,6,99
Folkwein,Kristy Folkwein,2,99,3,2,2,1,99
Goncalve,Leticia Goncalve,2,99,4,2,2,3,99
Kadlec,Thomas R. Kadlec,1,99,4,2,2,1,99
Lastra,Domingo Lastra,1,99,4,2,2,1,99
Logan,Patricia Logan,2,99,3,2,2,1,99
Luthar,Vikram Luthar,1,99,3,2,2,3,99
Macciochi,Vincent F. Macciocchi,1,99,3,2,2,1,99
Morris,Greg A. Morris,1,99,3,2,2,1,99
Pinner,Ian Pinner,1,99,3,2,2,1,99
Roig,Ismael Roig,1,99,4,2,2,1,99
Stott,John P. Stott,1,99,2,2,2,1,99
Taets,Joseph Taets,1,99,3,2,2,99,99
Vo,Thuy Vo,1,99,3,2,2,6,99
Werpy,Todd A. Werpy,1,99,3,2,2,2,99
Young,Ray G. Young,1,99,2,2,2,1,99
Nestle,Nestle,99,99,99,99,1,99,99
ADM,ADM,99,99,99,99,1,99,99
CPW,Cereal Partners Worldwide,99,99,99,99,1,99,99
ECC,Economic Club of Chicago,99,99,99,99,1,99,99
CCC,Commercial Club of Chicago,99,99,99,99,1,99,99
GABKS,Global Advisory Board of the Kellog School,99,99,99,99,1,99,99
LUX,Froneri Lux Topco Sarl,99,99,99,99,1,99,99
CGF,Consumer Goods Forum,99,99,99,99,1,99,99
GAN,Global Apprenticeship Network,99,99,99,99,1,99,99
FDE,FoodDrinkEurope,99,99,99,99,1,99,99
ECA,Ethics&Compliance Association,99,99,99,99,1,99,99
IDH,The Sustainable Trade Initiative,99,99,99,99,1,99,99
Novartis,Novartis AG,99,99,99,99,1,99,99
Schindler,Schindler Holding ,99,99,99,99,1,99,99
CALS,Chicago-area Law School,99,99,99,99,1,99,99
FLTS,Froneri Lux Topco Sarl,99,99,99,99,1,99,99
ISM,Institute for Supply Management,99,99,99,99,1,99,99
wbcsd,World Business Council for Sustainable Development,99,99,99,99,1,99,99
AIM,Association des Industries de Marque de lÚnion Européenne,99,99,99,99,1,99,99
CARL,Carlsberg,99,99,99,99,1,99,99
CRA,Corn Refiners Association,99,99,99,99,1,99,99
Loreal,LÓréal SA,99,99,99,99,1,99,99
CEELI,CEELI Institute ,99,99,99,99,1,99,99
JAG,Jobs for America’s Graduates,99,99,99,99,1,99,99
Cerecin,Cericin Inc,99,99,99,99,1,99,99
ST,Seres Therapeutics,99,99,99,99,1,99,99
RDC,Resource Development Committee,99,99,99,99,1,99,99
AH,Axcella Health Inc,99,99,99,99,1,99,99
Amazentis,Amazentis S.A,99,99,99,99,1,99,99
CAHRS,The Cornell Center for Advanced Human Resource Studies,99,99,99,99,1,99,99
PB,Prometheus Biosciences Inc,99,99,99,99,1,99,99
SHRM,Society for Human Resource Management,99,99,99,99,1,99,99
CES,Center for Executive Succession at the Darla Moore School of Business,99,99,99,99,1,99,99
NSP,Nutrition Science Partners,99,99,99,99,1,99,99
USC,USC Marshall Center for Effective Organizations,99,99,99,99,1,99,99
